@relation 'unknown-weka.filters.unsupervised.attribute.Remove-R3,5,10-12'

@attribute confidentiality {yes,no}
@attribute integrity {yes,no}
@attribute availability {yes,no}
@attribute ' identification & authentication' {yes,no}
@attribute accountability {yes,no}
@attribute privacy {yes,no}
@attribute documentID string
@attribute sentence string

@data
no,no,no,no,no,no,oscar_requests,summary
no,no,no,no,no,no,oscar_requests,detail
no,no,no,no,no,no,oscar_requests,text
no,no,no,yes,yes,no,oscar_requests,'set demographic check myoscar username should exist it oscar change request v1 .2'
no,no,no,no,no,no,oscar_requests,'= = = = = = = = = = = = = = = = = = = = = = = = ='
no,no,no,no,no,no,oscar_requests,'change description include benefit'
no,no,no,no,no,no,oscar_requests,-----------------------------------
no,yes,no,yes,yes,no,oscar_requests,'verify one master demographic file screen set when myoscar username be change it should exist it allow save it to'
no,yes,no,yes,yes,no,oscar_requests,'probably this should happen set when provider username they too'
no,no,no,no,no,no,oscar_requests,'oscar interaction point'
no,no,no,no,no,no,oscar_requests,------------------------
no,no,no,no,no,no,oscar_requests,'integration risk'
no,no,no,no,no,no,oscar_requests,-----------------
no,no,no,no,no,no,oscar_requests,'risk incorporate if not'
no,no,no,no,no,no,oscar_requests,------------------------
no,no,no,no,no,no,oscar_requests,'minimum testing requirement process'
no,no,no,no,no,no,oscar_requests,------------------------------------
yes,no,no,yes,yes,no,oscar_requests,'add just username exist that do not see error if it allow it notify user'
no,no,no,no,no,no,oscar_requests,'support training requirement to change'
no,no,no,no,no,no,oscar_requests,----------------------------------------
no,no,no,no,no,no,oscar_requests,'time estimate'
no,no,no,no,no,no,oscar_requests,-------------
no,no,no,no,no,no,oscar_requests,4h
no,no,no,no,no,no,oscar_requests,'add n a schedule screen'
no,no,no,no,no,no,oscar_requests,'oscar change request v1 .2'
no,no,no,no,no,no,oscar_requests,'= = = = = = = = = = = = = = = = = = = = = = = = ='
no,no,no,no,no,no,oscar_requests,'change description include benefit'
no,no,no,no,no,no,oscar_requests,-----------------------------------
yes,no,no,no,yes,no,oscar_requests,'useful have if master file patient note alert present it would be very able to be see to those schedule screen'
no,no,no,no,no,no,oscar_requests,'oscar interaction point'
no,no,no,no,no,no,oscar_requests,------------------------
no,no,no,no,no,no,oscar_requests,'schedule page'
no,no,no,no,no,no,oscar_requests,'integration risk'
no,no,no,no,no,no,oscar_requests,-----------------
no,no,no,no,no,no,oscar_requests,none
no,no,no,no,no,no,oscar_requests,'risk incorporate if not'
no,no,no,no,no,no,oscar_requests,------------------------
no,no,no,no,no,no,oscar_requests,'need click multiple'
no,no,no,no,no,no,oscar_requests,'minimum testing requirement process'
no,no,no,no,no,no,oscar_requests,------------------------------------
no,yes,no,no,no,no,oscar_requests,'make show sure link up be datum title'
no,no,no,no,no,no,oscar_requests,'support training requirement to change'
no,no,no,no,no,no,oscar_requests,----------------------------------------
no,no,no,no,no,no,oscar_requests,none
no,no,no,no,no,no,oscar_requests,'time estimate'
no,no,no,no,no,no,oscar_requests,-------------
no,no,no,no,no,no,oscar_requests,'------------- hour'
no,no,no,no,no,no,oscar_requests,'e-chart open document open should window new'
no,no,no,no,no,no,oscar_requests,'oscar change request v1 .2'
no,no,no,no,no,no,oscar_requests,'= = = = = = = = = = = = = = = = = = = = = = = = ='
no,no,no,no,no,no,oscar_requests,'change description include benefit'
no,no,no,no,no,no,oscar_requests,-----------------------------------
no,no,no,no,no,no,oscar_requests,'generate currently link target = _ blank make firefox setting can unwanted behavior that open tab new give which'
no,no,no,no,no,no,oscar_requests,'change will popupwindow type call'
no,no,no,no,no,no,oscar_requests,'oscar interaction point'
no,no,no,no,no,no,oscar_requests,------------------------
no,no,no,no,no,no,oscar_requests,'integration risk'
no,no,no,no,no,no,oscar_requests,-----------------
no,no,no,no,no,no,oscar_requests,'risk incorporate if not'
no,no,no,no,no,no,oscar_requests,------------------------
no,no,no,no,no,no,oscar_requests,'people close accidently window'
no,no,no,no,no,no,oscar_requests,'multi window with tab each'
no,no,no,no,no,no,oscar_requests,'messy get pretty'
